fdat,Ychng,Yfit1,Yfit3,Yfit4
2005-07-01,-1.1968280780780778,-1.0845136231620363,-1.2014593404384268,-1.4119870266183867
2005-10-01,-1.364735663082437,-1.0134634144135413,-1.1069077104466305,-1.2973548530363175
2006-01-01,-1.3855980725623582,-1.0509805307042892,-1.1442334181202751,-1.3297877964043465
2006-04-01,-1.393051388888889,-1.064700322621287,-1.1557798372743056,-1.3371859548154854
2006-07-01,-1.2631930555555555,-1.0154650564864622,-1.1007239799129938,-1.2816575642256847
2006-10-01,-1.3187258454106279,-1.0496927065941144,-1.1361621042709873,-1.3143631360661487
2007-01-01,-1.4871714975845411,-1.1698017087192898,-1.267770998103663,-1.4440588793592226
2007-04-01,-1.4258021541950114,-1.132361352671728,-1.2303022795372984,-1.410151881861259
2007-07-01,-1.4390025252525254,-1.0800636232784726,-1.1742446896953618,-1.3560328778798665
2007-10-01,-1.4108055555555556,-1.1123697967239574,-1.2047828637657734,-1.3806804085547253
2008-01-01,-1.3751255555555555,-1.0744086235736587,-1.1626184075931982,-1.3383642043002553
2008-04-01,-1.3191944444444443,-1.0523194173029085,-1.1356065328548355,-1.308580875332772
2008-07-01,-1.384712059620596,-1.0080874593989635,-1.0814629348167373,-1.2487444616168708
2008-10-01,-1.3025325059101656,-0.9636120068094584,-1.0309421002465355,-1.196949381169951
2009-01-01,-1.4889901709401707,-1.241378163254072,-1.3448137967250153,-1.5175551282403505
2009-04-01,-1.4235479797979798,-1.2478356827510622,-1.3496973089438273,-1.5196576434085345
2009-07-01,-1.3448688888888887,-1.248011019699182,-1.3474364073879534,-1.5145619887626696
2009-10-01,-1.5465035947712416,-1.2150721814882817,-1.3072861116267536,-1.4704326246247175
2010-01-01,-1.5039333333333333,-1.1875825612994753,-1.2821077466141555,-1.4493816788562874
2010-04-01,-1.4744004273504276,-1.2174044123106107,-1.3092831993191039,-1.4702013261246525
2010-07-01,-1.5635755555555555,-1.311312486688808,-1.3994754072524753,-1.5457550229836108
2010-10-01,-1.5512088888888886,-1.3194853288090973,-1.4066773400426444,-1.5504074105065697
2011-01-01,-1.6069222222222224,-1.3084980448696142,-1.3965467897692672,-1.5413587325540203
2011-04-01,-1.3236960317460316,-1.217128484007545,-1.3204641331500373,-1.4856833111235652
2011-07-01,-1.3642147509578542,-1.2083500946986543,-1.3064941291773864,-1.4669577926287862
2011-10-01,-1.409856388888889,-1.1627379698681313,-1.2535095938498295,-1.411402397383179
2012-01-01,-1.4096199699699703,-1.221032525422671,-1.3115670462170232,-1.4620534399854364
2012-04-01,-1.4588479797979796,-1.2146400054689162,-1.302231990048686,-1.450147502653859
2012-07-01,-1.4496463888888886,-1.27970775045288,-1.364993811437503,-1.5027897666996874
2012-10-01,-1.557591830065359,-1.2780121356621048,-1.3612929184366178,-1.496870272952307
2013-01-01,-1.571474786324786,-1.3057222917180813,-1.3858713379573575,-1.5150021820810924
2013-04-01,-1.620896783625731,-1.3345351204664855,-1.411261621327268,-1.5336188416916938
2013-07-01,-1.681650653594771,-1.3980071783970964,-1.464659022334595,-1.5717159925234825
2013-10-01,-1.6781467836257309,-1.3925423505859602,-1.4625704967534818,-1.5712289968381539
2014-01-01,-1.6032163888888884,-1.43710835348031,-1.498663734287995,-1.5957381623988856
2014-04-01,-1.620954678362573,-1.4493964802923167,-1.509702347862846,-1.6035100803947007
2014-07-01,-1.6232927350427349,-1.426845016064744,-1.4920550554052576,-1.5908641358526405
2014-10-01,-1.7095833333333332,-1.4829959867297622,-1.539306475638449,-1.6244929092248261
2015-01-01,-1.7542964646464645,-1.5760162693810664,-1.609873186575684,-1.6698523425412384
2015-04-01,-1.7161046783625729,-1.644049206550565,-1.659677385302973,-1.7006674481194715
2015-07-01,-1.6583611111111112,-1.6109879243206089,-1.6384488962101182,-1.6889504530831905
2015-10-01,-1.7130874603174604,-1.6350839122344172,-1.65903851930679,-1.7033990091551832
2016-01-01,-1.685481746031746,-1.676570089146495,-1.691846818416159,-1.7251192117855931
2016-04-01,-1.6607103174603175,-1.7159420404463634,-1.7237898069461448,-1.7467782970892964
2016-07-01,-1.6904624183006538,-1.70880576251371,-1.7198890390140766,-1.7447088779964421
2016-10-01,-1.6644006535947709,-1.7343335059211136,-1.741306239076625,-1.7595059547166045
2017-01-01,-1.4785937275985663,-1.7146680396123393,-1.7277325716552023,-1.7510244016581493
2017-04-01,-1.5588937275985666,-1.71220154150042,-1.7238228851086725,-1.7454721698247562
2017-07-01,-1.6321449494949496,-1.800048469964779,-1.8019577891651084,-1.8052106229992455
2017-10-01,-1.6933918300653592,-1.8059461845883205,-1.8079353063159398,-1.809539254455318
2018-01-01,-1.6107646953405017,-1.7805110217796398,-1.7911839251267443,-1.799858872637601
2018-04-01,-1.5799888888888889,-1.7662244687748314,-1.7800268135057995,-1.7915788936023693
2018-07-01,-1.628188888888889,-1.7992924335780243,-1.8090084788900365,-1.8128193753849386
2018-10-01,-1.655178888888889,-1.8290076571413654,-1.8344270408557124,-1.8308545733800334
2019-01-01,-1.6751356630824374,-1.883405745759293,-1.878963824509414,-1.8615940459840852
2019-04-01,-1.697392013888889,-1.913588393826644,-1.9040989860498787,-1.878943184528407
2019-07-01,-1.6945710317460314,-1.9190180141144697,-1.9104967635489403,-1.8841312176498175
2019-10-01,-1.7326351851851856,-1.9366888727067226,-1.926005455653099,-1.895122193720859
2020-01-01,-1.6653031746031743,-1.9251099845664792,-1.9208389101830412,-1.8936644903729585
2020-04-01,-1.7997359477124184,-1.9686930949290309,-1.956548447094884,-1.9181923884840226
2020-07-01,-1.8243462962962962,-2.040295956911874,-2.006032819150931,-1.9472307864831893
2020-10-01,-1.7528428888888885,-1.9330684240555982,-1.9459799818440415,-1.919754747382366
2021-01-01,-1.659231992337165,-1.9496404108896688,-1.9606880018126107,-1.9302465335243046
2021-04-01,-1.544424603174603,-1.9158747528628242,-1.9358414549010998,-1.9140018041160491
2021-07-01,-1.4360888888888894,-1.7394635587396947,-1.7756761861717207,-1.7859871362792128
