fdat,CPI1,CPI2,CPI3,CPI4,CPI5,CPI6
2003-10-01,2.303030303030303,2.1727272727272724,1.834375,1.8515151515151516,2.0606060606060606,2.0484848484848484
2004-01-01,0.8990322580645161,1.6874193548387098,1.532258064516129,1.5874193548387097,1.7974193548387098,1.847
2004-04-01,3.5987931034482763,2.7976071428571427,2.071931034482758,2.132965517241379,2.1434285714285712,2.1765357142857145
2004-07-01,4.7010344827586215,3.154310344827586,2.469379310344828,2.4190000000000005,2.3953103448275868,2.379689655172414
2004-10-01,1.8984687499999997,2.54734375,2.3501250000000002,2.3119375,2.19190625,2.3878125
2005-01-01,3.400555555555556,2.2636944444444445,2.201861111111111,2.2152777777777777,2.3177777777777773,2.303914285714286
2005-04-01,2.400000000000001,3.3334222222222225,2.171822222222222,2.5250222222222227,2.295302325581395,2.4668604651162798
2005-07-01,4.198377358490565,2.771283018867925,2.489943396226414,2.483150943396226,2.549943396226415,2.4095094339622642
2005-10-01,5.10036,3.73768,2.54134,2.40658,2.4373400000000003,2.4348
2006-01-01,3.2005098039215674,2.229470588235294,2.410333333333333,2.503352941176471,2.5208235294117642,2.287
2006-04-01,2.202221153846154,3.2837843137254903,2.609947058823529,2.4860313725490197,2.392476,2.3411530612244897
2006-07-01,4.999478,3.3661719999999997,2.8192900000000005,2.8749960000000003,2.7707740000000003,2.6130285714285715
2006-10-01,2.909785714285715,0.5233775510204082,2.8029040816326525,2.8423163265306117,2.5923979591836734,2.353710204081633
2007-01-01,-2.2005391304347826,2.333686956521739,2.645780434782609,2.5367021739130435,2.237176086956522,2.3258697674418607
2007-04-01,3.8000000000000007,4.066289795918367,2.4809551020408165,2.2918,2.520878723404256,2.461893617021276
2007-07-01,6.0,2.326836956521739,1.7592456521739128,2.395132608695652,2.5305760869565215,2.3247260869565216
2007-10-01,1.89943125,2.893683333333333,2.8330020833333336,2.4306916666666667,2.2365333333333335,2.147142553191489
2008-01-01,4.300000000000001,3.2044791666666668,2.2646729166666666,2.3625708333333333,2.2011333333333334,2.3780349999999997
2008-04-01,4.300000000000001,3.5086425531914904,3.0538021276595746,2.4918851063829788,2.7148739130434785,2.429668888888889
2008-07-01,5.0,5.118537777777778,2.6894288888888895,2.6151866666666663,2.102522222222222,2.4292488888888886
2008-10-01,6.7,-2.3164795918367345,0.6042551020408163,1.5063265306122453,2.3004306122448983,2.3452408163265304
2009-01-01,-9.2,-2.4537785714285714,0.9504095238095235,1.8055404761904763,1.4711595238095239,1.9195025000000006
2009-04-01,-2.399329787234043,0.9056872340425532,1.9377106382978722,1.4806978723404254,1.7939391304347827,1.9788108695652173
2009-07-01,1.2999999999999998,2.295412121212121,1.7010939393939393,1.8707121212121214,1.704221212121212,2.1095121212121213
2009-10-01,3.5999684210526315,2.2232263157894736,1.4196605263157895,1.3619947368421055,1.8769947368421054,1.9291864864864867
2010-01-01,3.4000000000000004,1.912390243902439,1.2284560975609757,1.8101829268292684,1.8915731707317074,2.0450975
2010-04-01,1.5,1.212193181818182,1.8485136363636365,1.8104272727272723,1.9565295454545457,1.8926232558139533
2010-07-01,-0.6999999999999998,1.2426942857142855,1.6561485714285713,1.6837085714285716,1.4599828571428572,1.9591470588235296
2010-10-01,1.5,1.9562439024390246,1.6983928571428575,1.3725333333333334,1.7782380952380954,1.8502292682926829
2011-01-01,2.613585365853658,2.4221536585365855,1.252529268292683,1.6936560975609756,1.767865853658537,2.0725358974358974
2011-04-01,5.222325581395348,3.4248093023255817,2.0428395348837207,1.9534558139534886,2.2765046511627904,2.0580333333333334
2011-07-01,4.099999999999999,1.6978194444444443,1.871075,2.1093888888888888,2.067925,2.20125
