fdat,dCPI10mn,yfit1,yfit3,yfit4
2008-07-01,-0.06551761517615162,0.04423195790394498,0.05414359803809815,0.05983641371590106
2008-10-01,0.0821795537104304,0.04447545258950515,0.05052083457020183,0.05179508044691986
2009-01-01,-0.18645766503000516,-0.2777661564446136,-0.31387169647847973,-0.3206057470703996
2009-04-01,0.06544219114219096,-0.006457519496990197,-0.004883512218812091,-0.0021025151681839955
2009-07-01,0.07867909090909109,-0.00017533694811981,0.002260901555873881,0.005095654645864834
2009-10-01,-0.20163470588235288,0.032938838210900316,0.04015029576119977,0.04412936413795211
2010-01-01,0.04257026143790821,0.02748962018880645,0.025178365012598045,0.02105094576843007
2010-04-01,0.0295329059829057,-0.029821851011135422,-0.02717545270494827,-0.020819647268365084
2010-07-01,-0.08917512820512785,-0.09390807437819726,-0.09019220793337154,-0.07555369685895819
2010-10-01,0.012366666666666859,-0.008172842120289313,-0.007201932790169011,-0.00465238752295893
2011-01-01,-0.055713333333333726,0.010987283939483148,0.010130550273377375,0.009048677952549327
2011-04-01,0.2832261904761908,0.09136956086206915,0.07608265661922976,0.05567542143045507
2011-07-01,-0.040518719211822596,0.008778389308890671,0.013970003972651,0.018725518494778944
2011-10-01,-0.04564163793103493,0.045612124830522995,0.0529845353275569,0.05555539524560713
2012-01-01,0.0002364189189187904,-0.058294555554539704,-0.058057452367193674,-0.05065104260225722
2012-04-01,-0.049228009828009345,0.006392519953754849,0.009335056168337196,0.01190593733157729
2012-07-01,0.009201590909091006,-0.0650677449839639,-0.06276182138881696,-0.05264226404582838
2012-10-01,-0.10794544117647042,0.0016956147907752732,0.0037008930008853094,0.005919493747380522
2013-01-01,-0.013882956259426926,-0.02771015605597659,-0.02457841952073967,-0.01813190912878543
2013-04-01,-0.0494219973009451,-0.02881282874840425,-0.025390283369910557,-0.018616659610601445
2013-07-01,-0.060753869969039975,-0.06347205793061103,-0.05339740100732712,-0.03809715083178867
2013-10-01,0.0035038699690401742,0.005464827811136209,0.0020885255811130717,0.0004869956853285253
2014-01-01,0.07493039473684249,-0.04456600289434985,-0.03609323753451303,-0.024509165560731627
2014-04-01,-0.01773828947368461,-0.012288126812006783,-0.011038613574851032,-0.007771917995815086
2014-07-01,-0.0023380566801618485,0.02255146422757287,0.017647292457588327,0.012645944542060151
2014-10-01,-0.08629059829059837,-0.0561509706650182,-0.04725142023319129,-0.033628773372185596
2015-01-01,-0.04471313131313126,-0.09302028265130419,-0.07056671093723503,-0.045359433316412276
2015-04-01,0.03819178628389164,-0.06803293716949865,-0.049804198727288945,-0.030815105578233172
2015-07-01,0.05774356725146168,0.033061282229956114,0.021228489092854654,0.011716995036281092
2015-10-01,-0.05472634920634922,-0.024095987913808188,-0.020589623096671884,-0.014448556071992733
2016-01-01,0.027605714285714456,-0.04148617691207772,-0.032808299109369055,-0.02172020263040999
2016-04-01,0.024771428571428444,-0.03937195129986856,-0.031942988529985755,-0.02165908530370326
2016-07-01,-0.029752100840336304,0.0071362779326533295,0.0039007679320682415,0.0020694190928542758
2016-10-01,0.02606176470588295,-0.02552774340740356,-0.02141720006254834,-0.014797076720162453
2017-01-01,0.18580692599620452,0.019665466308774304,0.013573667421422596,0.008481553058455318
2017-04-01,-0.08030000000000026,0.0024664981119194296,0.00390968654652972,0.005552231833393045
2017-07-01,-0.073251221896383,-0.08784692846435899,-0.0781349040564358,-0.059738453174489385
2017-10-01,-0.06124688057040961,-0.005897714623541472,-0.005977517150831451,-0.00432863145607239
2018-01-01,0.0826271347248575,0.02543516280868073,0.016751381189195596,0.009680381817716922
2018-04-01,0.03077580645161282,0.014286553004808356,0.011157111620944838,0.00827997903523177
2018-07-01,-0.04820000000000002,-0.03306796480319288,-0.028981665384236983,-0.021240481782569237
2018-10-01,-0.02699000000000007,-0.029715223563341105,-0.025418561965675927,-0.018035197995094784
2019-01-01,-0.019956774193548465,-0.05439808861792751,-0.04453678365370155,-0.030739472604051847
2019-04-01,-0.022256350806451497,-0.030182648067351096,-0.025135161540464752,-0.017349138544321942
2019-07-01,0.002820982142857531,-0.005429620287825648,-0.006397777499061607,-0.005188033121410435
2019-10-01,-0.03806415343915415,-0.017670858592252838,-0.015508692104158821,-0.010990976071041674
2020-01-01,0.06733201058201121,0.011578888140243479,0.0051665454700577824,0.0014577033479007025
2020-04-01,-0.13443277310924406,-0.04358311036255179,-0.035709536911842796,-0.02452789811106406
2020-07-01,-0.024610348583877784,-0.07160286198284344,-0.049484372056047096,-0.029038397999166708
2020-10-01,0.07150340740740768,0.10722753285627604,0.060052837306889345,0.027476039100823316
2021-01-01,0.0936108965517235,-0.016571986834070677,-0.014708019968569283,-0.010491786141938741
2021-04-01,0.11480738916256206,0.033765658026844704,0.024846546911510923,0.016244729408255464
2021-07-01,0.10833571428571354,0.17641119412312944,0.16016526872937917,0.12801466783683643
2021-10-01,0.11989642857142924,0.03563404132325133,0.03842394427497618,0.03748088369255395
2022-01-01,-0.09132335164835181,0.12120129222786358,0.14151660881781555,0.14943720079684567
2022-04-01,0.28973344481605334,0.11840708144969392,0.1263324502930275,0.12082775826107818
2022-07-01,0.10732495974235068,0.11217888894928243,0.15499630675345938,0.19739837586578046
2022-10-01,0.17784074074074097,-0.03554267423017347,-0.041233434143365486,-0.04568451704290649
2023-01-01,-0.6248400793650788,-0.09770667763762714,-0.1408330976342614,-0.20114085036268015
2023-04-01,-0.03420714285714288,-0.00013109861349871674,0.001738996517052123,0.004045729976684806
2023-07-01,0.010896428571428363,-0.0444637763957341,-0.0413900415802496,-0.03298682539070473
2023-10-01,0.014928571428571402,0.0024204305254632297,0.0038224155510402924,0.00543600344128988
2024-01-01,-0.1722555555555556,-0.030728351188656862,-0.028568025663403933,-0.02250608163365487
2024-04-01,0.1530519841269844,0.03246310852379983,0.024936124102781395,0.017159225184330225
2024-07-01,-0.12270013227513221,-0.048541504622326016,-0.045516307599652195,-0.036679830646958546
2024-10-01,-0.015953988603988556,-0.04942378276822326,-0.04224633471407918,-0.030496517059025195
