fdat,FR0,FR1,FR2,FR3,FR4,CPI10mn,CPI10mntr,dCPI10mn,CPI10md,CPI10q25,CPI10q75,CPI10Cmn,CPI10Cmntr,CPI10Cmd,dCPI10Cmn,dCPI10Cmd,rhob,rat1,rat2,FR0shift,FR0shift_2
1995-10-01,-0.9076923076923078,-0.623076923076923,-0.3641025641025641,-0.4025641025641024,-0.3771794871794872,3.025,3.0166666666666666,-0.19095744680851023,3.0,2.7125000000000004,3.2,3.025,3.0166666666666666,3.0,-0.1676470588235294,-0.02499999999999991,0.8160293745251962,0.15012543443721327,0.1839706254748038,-0.14960833852557517,-0.03114076249984398
1996-01-01,-0.6448275862068965,-0.08862068965517249,-0.2110344827586207,-0.16241379310344825,-0.2003448275862068,2.9994736842105265,2.97,-0.025526315789473397,3.0,2.7,3.1500000000000004,2.9994736842105265,2.97,3.0,-0.07322580645161293,0.0,0.8192613719662539,0.14807217637022524,0.18073862803374607,-0.09680502151640993,-0.017809280357475775
1996-04-01,0.3373076923076926,0.7834615384615385,0.04269230769230769,-0.03423076923076921,0.09846153846153839,3.0513513513513515,3.0424242424242425,0.05187766714082498,3.0,2.8,3.3,3.0513513513513515,3.0424242424242425,3.0,0.11857142857142856,0.0,0.8126929157569825,0.15222314043539661,0.18730708424301745,0.04994588410641832,0.009027150569326532
1996-07-01,0.28064516129032246,-0.07096774193548387,0.11290322580645155,0.19677419354838704,0.1483870967741935,3.0337500000000004,3.0161764705882357,-0.017601351351351102,3.0,2.8,3.3125,3.0337500000000004,3.0161764705882357,3.0,-0.09107142857142855,0.0,0.8149214991136996,0.1508244493959801,0.1850785008863004,0.04272068779961129,0.00800188746860144
1996-10-01,-0.407586206896552,-0.043448275862068945,-0.07310344827586207,-0.17724137931034478,-0.2072413793103448,2.9953125000000003,2.9696428571428575,-0.038437500000000124,3.0,2.6750000000000003,3.2125000000000004,2.9953125000000003,2.9696428571428575,3.0,-0.07884615384615384,0.0,0.8197882375284882,0.14773548313842322,0.18021176247151183,-0.061473965236568485,-0.011377509329520641
1997-01-01,0.35925925925925944,-0.09259259259259264,-0.13333333333333333,-0.018518518518518486,0.003703703703703773,2.9325,2.9178125,-0.06281250000000016,3.0,2.5,3.2625,2.9325,2.9178125,3.0,-0.08444444444444447,0.0,0.8277412003038744,0.14258570562337566,0.17225879969612556,0.05307534023861874,0.009564800608176634
1997-04-01,-0.588888888888889,-0.5014814814814815,-0.12333333333333334,-0.05888888888888895,-0.07111111111111114,2.886111111111111,2.875,-0.046388888888889035,2.8499999999999996,2.5,3.2,2.886111111111111,2.875,2.8499999999999996,-0.0506666666666667,0.0,0.8336146985172055,0.13870123293327408,0.1663853014827945,-0.08396713775598791,-0.014464078363765703
1997-07-01,-1.408965517241379,-0.7186206896551725,-0.2686206896551724,-0.36689655172413793,-0.19620689655172405,2.8878787878787877,2.8810344827586207,0.0017676767676766403,3.0,2.5,3.1,2.8878787878787877,2.8810344827586207,3.0,-0.08333333333333333,0.0,0.8333908853027617,0.13885051759704078,0.16660911469723827,-0.19542525440184752,-0.03251588987100321
1997-10-01,-0.18321428571428575,-0.2553571428571429,-0.1682142857142857,-0.24607142857142858,-0.15357142857142864,2.708333333333333,2.703125,-0.17954545454545467,2.6500000000000004,2.5,3.0,2.708333333333333,2.703125,2.6500000000000004,-0.09814814814814812,0.0,0.8561239132269773,0.12317575842790432,0.14387608677302266,-0.02543939840260069,-0.0042384356462876385
1998-01-01,-0.37999999999999984,-0.8076923076923077,-0.5746153846153845,-0.4946153846153847,-0.38384615384615384,2.6177419354838714,2.6074074074074076,-0.09059139784946169,2.6,2.3,3.0,2.6177419354838714,2.6074074074074076,2.6,-0.10178571428571428,0.0,0.8675940826178943,0.11487459042430871,0.13240591738210572,-0.04680678820260362,-0.006734377521004292
