ltfdat,CPI10mn,CPI10mntr,dCPI10mn,CPI10md,CPI10q25,CPI10q75,CPI10Cmn,CPI10Cmntr,CPI10Cmd,dCPI10Cmn,dCPI10Cmd
2007-01-01,2.4104673913043477,2.3835,-0.16844565217391327,2.3499999999999996,2.2,2.6,2.4104673913043477,2.3835,2.3499999999999996,-0.0313157894736842,0.0
2007-04-01,2.4718367346938774,2.423720930232558,0.06136934338952971,2.4,2.2,2.6,2.4718367346938774,2.423720930232558,2.4,0.020962499999999985,0.0
2007-07-01,2.4586363636363635,2.4323684210526317,-0.013200371057513927,2.4,2.2,2.7,2.4586363636363635,2.4323684210526317,2.4,0.020789473684210556,0.0
2007-10-01,2.4868333333333332,2.437371794871795,0.02819696969696972,2.4,2.2,2.6,2.4868333333333332,2.437371794871795,2.4,-0.016824324324324357,0.0
2008-01-01,2.5225133333333334,2.479823076923077,0.035680000000000156,2.5,2.2,2.75,2.5225133333333334,2.479823076923077,2.5,0.024276315789473705,0.0
2008-04-01,2.5784444444444445,2.52,0.055931111111111154,2.5,2.3,2.7,2.5784444444444445,2.52,2.5,0.023054285714285694,0.0
2008-07-01,2.512926829268293,2.4751428571428575,-0.06551761517615162,2.5,2.2,2.7,2.512926829268293,2.4751428571428575,2.5,-0.029411764705882353,0.0
2008-10-01,2.5951063829787233,2.5678048780487805,0.0821795537104304,2.5,2.3,2.775,2.5951063829787233,2.5678048780487805,2.5,0.13757575757575755,0.03000000000000025
2009-01-01,2.408648717948718,2.4045714285714284,-0.18645766503000516,2.4,2.0,2.725,2.408648717948718,2.4045714285714284,2.4,-0.13146388888888888,-0.10000000000000009
2009-04-01,2.474090909090909,2.431842105263158,0.06544219114219096,2.5,2.0,2.8,2.474090909090909,2.431842105263158,2.5,-0.01220857142857143,0.0
2009-07-01,2.55277,2.5016576923076923,0.07867909090909109,2.5,2.1107750000000003,2.8,2.55277,2.5016576923076923,2.5,-0.012746428571428547,0.0
2009-10-01,2.3511352941176473,2.30762,-0.20163470588235288,2.2626999999999997,1.9207999999999998,2.6750000000000003,2.3511352941176473,2.30762,2.2626999999999997,-0.16989545454545452,-0.09999999999999987
2010-01-01,2.3937055555555555,2.3763843749999998,0.04257026143790821,2.3899999999999997,2.13,2.531075,2.3937055555555555,2.3763843749999998,2.3899999999999997,0.11182666666666667,0.10000000000000009
2010-04-01,2.4232384615384612,2.3830371428571424,0.0295329059829057,2.4,2.0,2.5860000000000003,2.4232384615384612,2.3830371428571424,2.4,0.019178787878787858,0.0
2010-07-01,2.3340633333333334,2.331611538461538,-0.08917512820512785,2.3,2.0,2.5775,2.3340633333333334,2.331611538461538,2.3,-0.20592962962962963,-0.09000000000000008
2010-10-01,2.3464300000000002,2.285505882352941,0.012366666666666859,2.2,2.0,2.7,2.3464300000000002,2.285505882352941,2.2,0.034455555555555586,0.0
2011-01-01,2.2907166666666665,2.30205625,-0.055713333333333726,2.3,2.0,2.5,2.2907166666666665,2.30205625,2.3,0.014331249999999976,0.0
2011-04-01,2.5739428571428573,2.5021870967741937,0.2832261904761908,2.4,2.1,2.6827,2.5739428571428573,2.5021870967741937,2.4,0.1900758620689655,0.10000000000000009
2011-07-01,2.5334241379310347,2.44,-0.040518719211822596,2.4,2.2,2.7,2.5334241379310347,2.44,2.4,-0.07465199999999993,0.0
2011-10-01,2.4877825,2.4474970588235294,-0.04564163793103493,2.5,2.13,2.7125000000000004,2.4877825,2.4474970588235294,2.5,-0.03203461538461542,0.0
2012-01-01,2.4880189189189186,2.414266666666667,0.0002364189189187904,2.3,2.1,2.7,2.4880189189189186,2.414266666666667,2.3,0.02780588235294119,0.0
2012-04-01,2.4387909090909092,2.437596551724138,-0.049228009828009345,2.48,2.2,2.7,2.4387909090909092,2.437596551724138,2.48,0.020109677419354887,0.0
2012-07-01,2.4479925000000002,2.4140558823529417,0.009201590909091006,2.3499999999999996,2.1,2.7,2.4479925000000002,2.4140558823529417,2.3499999999999996,-0.020335483870967758,0.0
2012-10-01,2.34004705882353,2.350123333333334,-0.10794544117647042,2.3,2.2,2.6,2.34004705882353,2.350123333333334,2.3,-0.05348709677419358,0.0
2013-01-01,2.326164102564103,2.3243,-0.013882956259426926,2.3,2.075,2.55,2.326164102564103,2.3243,2.3,-0.008039999999999995,0.0
2013-04-01,2.276742105263158,2.286311764705882,-0.0494219973009451,2.3,2.0,2.571175,2.276742105263158,2.286311764705882,2.3,-0.0640055555555556,-0.029649999999999954
2013-07-01,2.215988235294118,2.2347866666666665,-0.060753869969039975,2.205,2.0,2.5,2.215988235294118,2.2347866666666665,2.205,-0.026710344827586212,0.0
2013-10-01,2.219492105263158,2.2392029411764707,0.0035038699690401742,2.3,2.0,2.5,2.219492105263158,2.2392029411764707,2.3,-0.03226296296296298,0.0
2014-01-01,2.2944225000000005,2.305029411764706,0.07493039473684249,2.3,2.075,2.5,2.2944225000000005,2.305029411764706,2.3,0.037268571428571456,0.0
2014-04-01,2.276684210526316,2.273941176470588,-0.01773828947368461,2.25,2.025,2.5,2.276684210526316,2.273941176470588,2.25,0.006774285714285729,0.0
2014-07-01,2.274346153846154,2.2752057142857143,-0.0023380566801618485,2.2,2.0,2.5,2.274346153846154,2.2752057142857143,2.2,0.019177142857142872,0.0
2014-10-01,2.1880555555555556,2.1881250000000003,-0.08629059829059837,2.2,1.9975,2.4,2.1880555555555556,2.1881250000000003,2.2,-0.08175000000000002,-0.03400000000000014
2015-01-01,2.1433424242424244,2.1424241379310343,-0.04471313131313126,2.1,2.0,2.3,2.1433424242424244,2.1424241379310343,2.1,-0.009989655172413795,0.0
2015-04-01,2.181534210526316,2.1613176470588233,0.03819178628389164,2.135,2.0,2.3,2.181534210526316,2.1613176470588233,2.135,-0.03685714285714283,0.0
2015-07-01,2.2392777777777777,2.2157500000000003,0.05774356725146168,2.1500000000000004,2.0,2.5,2.2392777777777777,2.2157500000000003,2.1500000000000004,0.08995625000000002,0.0
2015-10-01,2.1845514285714285,2.1527677419354836,-0.05472634920634922,2.15,1.9565000000000001,2.3,2.1845514285714285,2.1527677419354836,2.15,-0.03427419354838709,0.0
2016-01-01,2.212157142857143,2.1979193548387097,0.027605714285714456,2.12,2.0,2.4,2.212157142857143,2.1979193548387097,2.12,0.02675624999999999,0.010000000000000009
2016-04-01,2.2369285714285714,2.2194354838709676,0.024771428571428444,2.2,2.03315,2.4,2.2369285714285714,2.2194354838709676,2.2,-0.011709677419354816,0.0
2016-07-01,2.207176470588235,2.184613333333333,-0.029752100840336304,2.1500000000000004,2.0,2.4,2.207176470588235,2.184613333333333,2.1500000000000004,-0.04326666666666668,0.0
2016-10-01,2.233238235294118,2.223,0.02606176470588295,2.2161,2.0,2.393675,2.233238235294118,2.223,2.2161,0.058432258064516115,0.0
2017-01-01,2.4190451612903225,2.3514962962962964,0.18580692599620452,2.3,2.1550000000000002,2.5,2.4190451612903225,2.3514962962962964,2.3,0.10654666666666669,0.01265000000000005
2017-04-01,2.3387451612903223,2.303744444444444,-0.08030000000000026,2.3,2.1,2.41735,2.3387451612903223,2.303744444444444,2.3,-0.03191111111111112,0.0
2017-07-01,2.2654939393939393,2.256068965517241,-0.073251221896383,2.25,2.1,2.4,2.2654939393939393,2.256068965517241,2.25,-0.0865222222222222,-0.07000000000000028
2017-10-01,2.2042470588235297,2.19378,-0.06124688057040961,2.2,2.0125,2.3,2.2042470588235297,2.19378,2.2,-0.04722999999999997,0.0
2018-01-01,2.286874193548387,2.2478925925925926,0.0826271347248575,2.25,2.075,2.4,2.286874193548387,2.2478925925925926,2.25,0.08550689655172407,0.04999999999999982
2018-04-01,2.31765,2.269341666666667,0.03077580645161282,2.3,2.1,2.3745000000000003,2.31765,2.269341666666667,2.3,0.016707407407407417,0.0
2018-07-01,2.26945,2.234873076923077,-0.04820000000000002,2.2,2.1,2.3,2.26945,2.234873076923077,2.2,-0.035659999999999956,0.0
2018-10-01,2.24246,2.242911538461539,-0.02699000000000007,2.21,2.1,2.375,2.24246,2.242911538461539,2.21,-0.05343200000000001,0.0
2019-01-01,2.2225032258064514,2.196207407407407,-0.019956774193548465,2.2,2.0,2.3,2.2225032258064514,2.196207407407407,2.2,-0.0453375,-0.07804999999999995
2019-04-01,2.200246875,2.1859964285714284,-0.022256350806451497,2.2,2.075,2.3,2.200246875,2.1859964285714284,2.2,-0.004987499999999978,0.0
2019-07-01,2.2030678571428575,2.1773291666666665,0.002820982142857531,2.2,2.0,2.3,2.2030678571428575,2.1773291666666665,2.2,0.010692307692307685,0.0
2019-10-01,2.1650037037037033,2.160434782608695,-0.03806415343915415,2.2,2.0,2.3,2.1650037037037033,2.160434782608695,2.2,-0.06253333333333334,0.0
